syllable,start_frame,duration_frames
14,48408,28
1,48447,9
1,48461,6
22,48467,64
14,48531,76
6,48607,11
14,48618,78
2,48696,36
1,48732,78
13,48810,5
1,48815,13
2,48828,59
6,48898,17
0,48939,15
0,48975,12
0,49028,9
9,49038,12
9,49052,5
9,49059,5
0,49229,20
0,49282,7
0,49295,16
0,49599,15
0,49617,12
0,49630,17
0,49659,23
0,49683,10
0,49703,30
0,49744,20
1,49764,10
1,49775,9
2,49927,10
6,49937,8
6,49946,5
7,49973,27
0,50000,5
1,50005,203
0,50208,22
8,50257,40
14,50297,104
2,50401,11
1,50412,139
8,50551,31
9,50582,46
2,50628,7
1,50635,49
0,50684,40
7,50724,5
1,50729,50
7,50779,17
0,50796,26
3,50822,8
9,50830,23
2,50853,18
9,50871,14
9,50891,3
9,50898,3
1,50901,46
3,50947,3
6,50950,43
2,50993,29
0,51022,22
13,51044,11
2,51055,35
1,51090,8
3,51098,17
0,51115,27
0,51167,4
3,51171,7
2,51178,18
2,51201,5
2,51213,21
17,51234,16
17,51254,7
2,51261,16
0,51366,4
0,51372,5
0,51397,9
3,51406,14
0,51422,4
99,51426,4
2,51430,5
2,51438,10
2,51476,14
2,51496,18
6,51514,15
3,51529,9
7,51538,75
99,51613,23
0,51681,22
0,51843,5
3,51849,14
3,51864,10
2,51874,17
1,51891,19
2,51910,9
1,51919,25
0,51989,20
0,52011,7
6,52023,65
6,52101,14
2,52124,25
2,52192,23
1,52215,8
8,52223,25
1,52248,25
7,52298,76
1,52374,143
11,52517,13
3,52545,11
3,52557,3
7,52560,54
3,52614,4
6,52618,5
6,52628,69
3,52697,6
3,52704,3
3,52709,6
11,52715,6
2,52749,6
1,52755,22
2,52777,8
3,52789,5
3,52795,11
9,52806,46
8,52852,9
8,52862,40
1,52902,26
8,52928,20
1,52949,13
1,52968,12
8,52988,3
1,53005,4
1,53018,4
8,53027,9
1,53036,10
8,53046,24
0,53070,22
0,53093,40
0,53134,5
6,53145,10
6,53158,5
3,53165,4
6,53169,9
3,53180,8
3,53191,9
3,53201,6
5,53221,6
0,53227,4
13,53237,6
7,53246,9
7,53260,5
7,53271,9
1,53280,38
2,53318,10
1,53328,13
2,53341,9
1,53359,6
1,53374,27
7,53405,17
7,53429,4
7,53442,3
7,53461,10
1,53476,17
2,53508,8
1,53516,24
7,53540,3
7,53547,34
2,53581,14
1,53603,6
1,53624,17
3,53642,12
2,53654,13
2,53669,32
6,53712,17
6,53742,42
0,53784,9
2,53796,19
6,53816,34
18,53850,6
2,53856,9
6,53865,73
1,53938,20
8,53958,14
1,53972,24
6,53996,50
2,54046,12
1,54058,11
2,54069,17
1,54086,16
6,54102,62
2,54164,16
0,54180,7
0,54192,9
0,54206,3
2,54209,62
6,54271,31
0,54302,11
99,54313,3
21,54316,23
99,54339,5
2,54344,14
1,54358,90
2,54448,23
6,54471,142
1,54617,15
16,54632,7
1,54639,21
6,54660,16
1,54705,3
2,54708,21
6,54729,31
1,54760,43
2,54803,31
6,54834,74
18,54908,11
0,54919,16
3,54935,5
6,54940,10
6,54952,9
2,54964,7
1,54971,31
2,55002,5
1,55007,5
6,55050,21
1,55071,23
2,55094,12
99,55106,5
2,55111,20
6,55131,26
6,55162,60
3,55222,6
6,55228,4
6,55235,29
2,55264,36
1,55300,23
6,55323,26
2,55350,50
6,55400,56
18,55456,11
0,55472,3
6,55477,83
2,55560,35
1,55595,9
2,55604,15
6,55619,40
2,55659,12
3,55677,7
4,55684,3
3,55704,20
8,55735,9
8,55771,3
0,55801,5
0,55815,7
0,55827,7
7,55903,39
0,55942,5
0,55949,23
0,59193,6
0,59212,49
1,59261,20
1,59290,24
1,59329,10
2,59339,17
2,59357,5
9,59362,47
16,59409,18
1,59442,23
8,59475,4
1,59479,38
2,59521,11
1,59532,28
2,59560,14
21,59574,18
1,59592,30
6,59622,15
6,59641,128
1,59769,21
16,59792,54
2,59846,10
6,59856,10
6,59876,46
15,59923,2
15,59942,8
15,59973,11
15,59988,4
15,59997,7
15,60017,22
2,60039,15
6,60097,9
6,60121,11
2,60132,18
3,60406,5
3,60412,4
2,60416,6
1,60427,61
7,60488,32
8,60520,7
0,60588,3
0,60592,3
4,60635,2
0,60639,38
1,60677,39
2,60716,6
6,60722,25
3,60747,7
5,60771,3
0,60774,20
2,60794,17
1,60811,41
1,60853,13
7,60866,50
8,60916,24
3,60940,6
6,60946,50
2,60996,17
7,61013,11
3,61024,3
8,61027,29
7,61056,24
7,61086,17
7,61106,43
3,61149,6
3,61156,15
0,61171,11
0,61189,14
3,61203,14
16,61217,21
1,61238,114
8,61352,6
1,61358,27
3,61385,3
1,61388,19
8,61407,8
6,61415,74
1,61489,62
7,61551,38
7,61590,13
15,61603,102
15,61707,8
3,61715,4
1,61719,10
2,61729,10
2,61743,19
6,61762,85
0,61847,18
2,61865,46
6,61911,109
1,62020,50
2,62070,23
1,62093,13
8,62106,34
6,62140,28
8,62168,5
1,62173,42
6,62215,174
1,62389,17
2,62406,6
1,62412,55
2,62467,23
0,62490,30
8,62520,17
1,62537,58
7,62595,26
1,62621,67
2,62688,23
21,62711,31
99,62742,7
2,62749,10
1,62761,8
1,62778,66
0,62844,21
3,63001,11
6,63012,13
2,63025,10
9,63035,75
1,63110,33
9,63143,19
1,63162,37
2,63199,11
15,63210,47
3,63257,3
9,63260,71
0,63331,14
1,63345,21
1,63369,13
1,63385,9
2,63394,36
1,63430,42
16,63472,85
1,63557,8
2,63565,8
1,63573,12
9,63585,26
1,63611,15
0,63626,65
3,63691,8
9,63699,23
1,63722,48
2,63770,8
17,63778,186
2,63964,7
9,63971,63
18,64034,3
0,64037,19
3,64056,6
9,64062,11
0,64073,10
1,64083,30
0,64113,38
1,64151,102
16,64253,26
17,64279,32
99,64311,3
6,64314,11
6,64333,6
6,64341,68
1,64409,35
1,64445,6
1,64456,63
6,64519,25
2,64544,38
17,64582,151
2,64733,6
1,64739,98
7,64837,25
1,64862,338
2,65200,11
1,65211,23
7,65234,6
1,65240,22
2,65262,9
2,65278,8
1,65286,68
2,65354,4
1,65358,126
6,65484,153
8,65637,29
1,65666,91
2,65757,17
1,65778,10
1,65792,3
8,65801,5
1,65806,27
6,65833,5
6,65843,56
1,65908,30
7,65993,6
7,66002,52
1,66054,35
6,66089,79
1,66168,28
7,66196,50
8,66246,30
1,66276,65
7,66341,25
0,66366,20
0,66389,5
6,66394,19
6,66421,14
1,66437,22
9,66459,23
0,66484,3
8,66487,7
7,66494,58
0,66552,48
2,66600,14
1,66614,11
2,66625,8
17,66633,79
13,66712,3
1,66715,20
2,66735,8
1,66743,44
2,66787,20
1,66807,80
6,66887,40
1,66927,18
2,66945,10
0,66955,62
17,67017,59
2,67076,32
1,67108,81
17,67189,66
2,67255,9
1,67264,16
21,67280,58
2,67338,3
6,67341,47
2,67388,6
1,67394,38
20,67432,13
1,67445,19
2,67464,3
1,67467,38
7,67505,4
7,67513,64
7,67583,8
1,67623,3
1,67666,17
2,67702,14
3,67721,9
0,67735,3
1,67747,31
7,67778,87
1,67865,15
2,67880,15
11,67895,5
0,67901,21
2,67922,11
1,67933,12
7,67945,28
3,67973,14
2,67987,32
2,68020,44
4,68065,3
0,68089,29
8,68118,5
2,68172,5
6,68177,21
1,68198,36
8,68234,56
3,68291,14
6,68308,16
1,68324,165
1,68491,17
0,68508,96
0,68611,86
2,68706,22
2,68730,14
1,68744,18
2,68764,8
2,68776,42
6,68818,58
2,68876,19
6,68895,18
2,68913,6
4,68925,4
3,68930,9
2,68939,76
9,69015,20
1,69039,10
8,69049,32
6,69081,21
2,69102,31
1,69134,328
2,69462,5
0,69467,34
2,69501,44
0,69545,6
1,69551,78
9,69629,39
1,69668,34
9,69702,46
1,69748,13
17,69761,43
1,69804,84
13,69888,11
2,69899,49
6,69948,46
0,70001,28
3,70029,3
7,70032,65
13,70097,7
0,70104,9
2,70113,8
1,70121,29
2,70150,21
6,70171,13
0,70184,12
1,70196,13
8,70209,17
13,70226,6
0,70232,48
13,70280,13
7,70293,42
1,70335,239
2,70574,14
6,70589,25
2,70614,16
3,70630,4
9,70634,36
3,70670,7
3,70680,6
2,70686,34
2,70721,10
2,70733,16
0,70749,22
3,70771,4
2,70775,28
2,70812,3
2,70821,21
2,70843,3
6,71001,5
6,71018,5
2,71051,7
2,71070,4
3,71088,28
9,71116,21
9,71160,137
2,71297,43
2,71341,29
